,,,,,,,,,,
,,Money Keeper,,,,,,,,
,,Personal Finance Book,,,,,,,,
Transaction Report,,,,,,,,,,
From 6/1/2023 to 12/30/2026,,,,,,,,,,
,,,,,,,,,,
,,,,,,,Total income,170.836.000,Opening balance,0
,,,,,,,Total expense,758.746.341,Closing balance,-587.910.341
,,,,,,,,,,
,,,,,,,,,,Currency: VND
No,Date,Time,Income amount,Expense amount,Balance,Parent Category,Category,Payee,Event,Description
25,3/5/2026,08:00,       ,  50.000 ,-571.410.363,Đi lại,Xăng xe,,,
26,3/5/2026,07:50,       ,  10.000 ,-571.360.363,Đi lại,,,,Bơm xe
27,3/4/2026,18:00,       ,  94.845 ,-571.350.363,Food and Dining,Đi siêu thị,,,Bhxanh
28,3/4/2026,12:00,       ,  35.000 ,-571.255.518,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm
29,3/4/2026,12:00,       ,  20.000 ,-571.220.518,Food and Dining,Ăn/Uống vặt,,,Nc cam
30,3/3/2026,12:00,       ,  30.000 ,-571.200.518,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm trưa
31,3/3/2026,12:00,       ,  20.000 ,-571.170.518,Food and Dining,Ăn/Uống vặt,,,Nc cam
32,3/2/2026,12:00,       ,  35.000 ,-571.150.518,Food and Dining,Ăn ngoài tiệm(Cty),,,Cơm sườn
33,3/2/2026,12:00,       ,  20.000 ,-571.115.518,Food and Dining,Ăn/Uống vặt,,,Nc cam
34,3/1/2026,09:00,       ,  332.000 ,-571.095.518,Food and Dining,Đi chợ,,,"92k rau
200k cá thác lác
10k khổ qua"
35,2/28/2026,18:00,       ,  647.454 ,-570.763.518,Food and Dining,Đi siêu thị,,,
36,2/28/2026,09:00,       ,  90.000 ,-570.116.064,Food and Dining,Ăn ngoài tiệm(Nhà),,,Cháo
37,2/27/2026,12:00,       ,  35.000 ,-570.026.064,Food and Dining,Ăn ngoài tiệm(Cty),,, cơm
38,2/27/2026,12:00,       ,  20.000 ,-569.991.064,Food and Dining,Ăn/Uống vặt,,,Nc cam
